Gene_names	Protein_names	Uniprot_IDs	logFC_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Ratio_H_L_count_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_Mix_CTRL IgM Immunoisolation	PEP
ARL8A	ADP-ribosylation factor-like protein 8A	Q96BM9;B2R7U5	-0.515	1	7.578	6.678	0
BCAS2	Pre-mRNA-splicing factor SPF27	B2R7W3;O75934;Q53HE3	0.184	2	7.284	6.671	0
PTPLAD1	3-hydroxyacyl-CoA dehydratase 3	H3BS72;Q9P035;H3BPZ1;B4DRF4;H3BRL8;H3BMZ1	-0.377	4	7.737	6.67	0
ITGB1	Integrin beta-1	P05556;E7EQW5;E7EUI6;E9PLR6;Q5T3E6;H7C4N8;C9JPK5	-0.423	4	7.476	6.666	0
YWHAQ	14-3-3 protein theta	P27348;B4DMT8;E9PG15;Q53S41;B4DY04;Q2F831;Q53RR5	-0.315	1	7.267	6.665	0
UCHL5	Ubiquitin carboxyl-terminal hydrolase isozyme L5	Q5LJA9;Q5LJA5;B2RB07;Q9Y5K5;E9PGR0;Q5LJB0;H0Y6Y4;Q5LJA3;B7Z9U9;B4DW59;Q5LJB2	-0.03	2	7.437	6.662	0
ESF1	ESF1 homolog	Q9H501;Q05C10;A0JLU5;Q8IWH6	0.781	1	6.729	6.641	0
VAMP7;SYBL1	Vesicle-associated membrane protein 7	P51809;B2R6P4;B4DIH9;B4DE96;B4DMB4;E5RH06	-0.4	6	8.182	6.638	0
BYSL	Bystin	Q13895;Q5T8J2;H7BY94	0.664	5	7.564	6.632	0
		B4DE59	-0.266	2	7.72	6.629	0
DDX55	ATP-dependent RNA helicase DDX55	Q8NHQ9;F5H5U2;B4DVE4;F5H3E5;Q8TEC9;E7EX41	0.269	2	7.053	6.627	0
CHTOP	Chromatin target of PRMT1 protein	Q9Y3Y2	0.418	1	7.09	6.626	0
AP4B1	AP-4 complex subunit beta-1	B2RBF6;Q9Y6B7;B4DTG3;B1ALD0;B3KSJ4;B1ALD1;B7Z4X3;B1ALD2;B1ALD3	0.105	45	8.977	6.625	0
ZC3HAV1	Zinc finger CCCH-type antiviral protein 1	C9J6P4;A8K9U6;Q7Z2W4;F5H1W0;Q05DV5	0.461	2	7.058	6.623	0
SRRM2;KIAA0324	Serine/arginine repetitive matrix protein 2	Q9UQ35;F5GWZ7;I3L2L6;O60382;I3L4D8;Q9UQ39;I3L182;A0AUK8;I3L1I8;Q05CV9;Q05BI2;I3L1C0	0.352	17	8.201	6.607	0
C16orf62	UPF0505 protein C16orf62	E7EWW0;Q7Z3J2;F5H7K1;B3KT69;G5E9I3;C9J7I2;H3BV68;H3BVG8;H3BTI5	-0.224	2	6.925	6.601	0
AP2B1;DKFZp781K0743	AP-2 complex subunit beta	A8K0G3;A8K916;H0UID3;P63010;H0UID4;H0UID5;Q68DI0;Q7Z451;B4DWG4;B4E261;F5GYG9;B4DIL5;Q96EL6	-0.64	4	7.464	6.598	0
WDR77	Methylosome protein 50	Q9BQA1;B4DP38;H0Y711;Q5QNY9;B4DJP0	0.331	1	7.397	6.594	0
MDN1	Midasin	Q9NU22;Q6AI22;Q5T795;Q6ZVV6;Q6PJJ1	0.149	20	7.807	6.594	0
THOC6	THO complex subunit 6 homolog	Q86W42	-0.027	2	7.314	6.594	0
TUBB2A;TUBB2B;DKFZp566F223	Tubulin beta-2A chain;Tubulin beta-2B chain	Q13885;Q9BVA1;B2R6L0;F5H8C9;B7Z4N1;O43209;Q9UGA2;A5D906;A5D907	-0.613	3	7.599	6.584	0
GNAS;GSA	Guanine nucleotide-binding protein G(s) subunit al	Q5JWF2;A6NI00;P63092;Q5FWY2;Q14455;B0AZR9;O60726	0.039	2	7.387	6.581	0
PDAP1	28 kDa heat- and acid-stable phosphoprotein	Q13442;F8WBW6	-0.052	3	7.506	6.581	0
NOL12	Nucleolar protein 12	B3KQ09;Q9UGY1;B4DGP7	-0.051	1	6.857	6.577	0.00432
PGRMC2;PGRMC1	Membrane-associated progesterone receptor componen	O15173;O00264;Q6IB11	-0.473	1	7.307	6.574	0
ALDH16A1	Aldehyde dehydrogenase family 16 member A1	Q8IZ83;B4DQ15;F5H4B6;B4DVV1;F8WBH3	0.024	1	6.932	6.571	0
ERC1	ELKS/Rab6-interacting/CAST family member 1	Q8IUD2;G8JLD3;G8JLM9;F5H185;B4DG07;F5H327;G8JLA4;F5GZU8;O15083;H7C4G9	0.284	3	7.048	6.558	0
DCD	Dermcidin;Survival-promoting peptide;DCD-1	P81605	0	0	6.871	6.556	0.00018
DCXR	L-xylulose reductase	Q7Z4W1	-0.736	2	7.133	6.555	0.00023
NO66	Lysine-specific demethylase NO66	Q9H6W3	0.687	1	6.567	6.55	0
GNAQ;GNA11;GNA14	Guanine nucleotide-binding protein subunit alpha-1	G9FP35;P29992;P50148;Q59FM5;B1ALW3;O95837	0.545	1	7.133	6.548	0
APMAP;C20orf3	Adipocyte plasma membrane-associated protein	Q9HDC9;H0Y512;A2A2F9	-0.51	2	7.208	6.548	5.00E-05
IGF2R	Cation-independent mannose-6-phosphate receptor	P11717;Q59EZ3;B4DUY7;Q13660;Q13661	-0.843	91	8.872	6.544	0
VPS33B	Vacuolar protein sorting-associated protein 33B	Q9H267;B7Z1N4;F5H008;B7Z6M7;F5GWU6;B3KQF6	0.632	2	7.05	6.531	1.00E-05
BZW1;hCG_2022736;Nbla10236	Basic leucine zipper and W2 domain-containing prot	Q53FN7;Q7L1Q6;D3DN77;H0Y503;Q3LIC9	0.061	2	7.36	6.518	1.00E-04
SLC7A1	High affinity cationic amino acid transporter 1	B2R728;P30825;Q5JR49	-1.213	4	7.845	6.513	0
RAB35	Ras-related protein Rab-35	Q15286;F5H157;B4DTA6;A8K5R1;Q15771;E9PMJ1;Q6MZH2;F5H7F8;E9PS06;E9PNB9;E9PRF7;E9PJQ5;E9PI18;E9PQ07	-0.288	6	8.149	6.51	0
TUBA1C;TUBA1B	Tubulin alpha-1C chain	F5H5D3;Q53GA7;Q9BQE3;B7Z1K5;E9PGK3;Q8N532;F8VVB9;C9JDS9;Q9H853	0.139	2	7.702	6.508	0
RNPS1	RNA-binding protein with serine-rich domain 1	D3DU92;Q15287;H3BTC0;H3BMM9;H3BMS0;H3BV80;H3BPG5;H3BR57	0.348	3	7.606	6.497	0
ARHGDIA	Rho GDP-dissociation inhibitor 1	P52565;A8MXW0;B4DUV9	-0.528	1	7.354	6.497	0
KIF2A	Kinesin-like protein KIF2A	B4DM85;O00139;E9PB70;B0AZS5;D6R9M0;H0Y8H2	-0.315	9	7.725	6.496	0
CDC73	Parafibromin	Q6P1J9;B4DV47	0.037	2	7.117	6.488	0.00074
SEC23B	Protein transport protein Sec23B	Q15437;B4DJW8;B4DRA5;B4DS04;Q5QPE2;Q5QPE1;G3V5K1	-1.377	3	7.317	6.487	0
SRP9	Signal recognition particle 9 kDa protein	A8K0N0;P49458;Q8WVW9	0.564	1	7.129	6.486	0
SON	Protein SON	P18583;H7C1M2;B3KRA1;Q6ZRV7;D3DSF7;H7C2G8;A0JLP4;Q3SWV4	0.588	6	7.432	6.483	0
GIGYF2	PERQ amino acid-rich with GYF domain-containing pr	I1E4Y6;Q6Y7W6;B9EG55;E9PBB0;B4DZM1;E9PC50;E7ESB6;F5H3C2;B4DRT8;C9JHW1;C9JH18	0.303	1	6.6	6.482	0
REEP5	Receptor expression-enhancing protein 5	Q00765;B2R6C4;B7Z6B3;B7Z2A3;E2QRG8;H0Y8J8;B7Z681;B7Z510;B7Z332	-0.465	4	8.217	6.479	0
CCDC22	Coiled-coil domain-containing protein 22	O60826;B4DPB6;B7ZAR0;F5GXW9;B4DLA4	-0.52	5	7.475	6.463	0
CAT	Catalase	P04040;B4DWK8	-0.016	1	6.767	6.436	2.00E-05
TMEM30A	Cell cycle control protein 50A	Q9NV96;B4DIF5;B4DDK3;Q3MIR4	-0.927	5	7.91	6.433	0
TPD52L2;DKFZp686A1765	Tumor protein D54	Q5JWU6;O43399;Q53GA0;Q6FGS1;Q68E05;B4DPJ6;B4DDV4;Q5J908	1.822	2	7.406	6.414	0
SYPL;SYPL1	Synaptophysin-like protein 1	A4D0R1;Q16563;A4D0R2;A8K865;C9JYN0;H7C4J8	0.033	12	9.028	6.403	0
FAM120A	Constitutive coactivator of PPAR-gamma-like protei	Q9NZB2;H7C0T0;Q9NX05;B1AQ10;F8W881	0.869	4	7.358	6.4	0
KIN	DNA/RNA-binding protein KIN17	O60870;B4DX32;B7Z421;F5GXB3	0.298	1	6.636	6.392	0.00021
SCD	Acyl-CoA desaturase	Q59GX7;O00767	-0.279	1	7.417	6.388	0
YTHDC1	YTH domain-containing protein 1	Q96MU7	0.062	1	6.799	6.357	0
PPIL2	Peptidyl-prolyl cis-trans isomerase-like 2	A8K0I0;Q13356;B4DRD4;E7EW80	-0.017	1	6.725	6.348	1.00E-04
RFC1	Replication factor C subunit 1	P35251;H0Y8U4	-0.029	1	6.677	6.347	2.00E-05
NEMF	Nuclear export mediator factor NEMF	O60524;G3V5V3;G3V4D9;G3V547;F5H639	0.131	1	6.547	6.341	0
RAB4A	Ras-related protein Rab-4A	P20338;Q53GC2;P61018	-0.306	4	7.822	6.328	0
LAMP2	Lysosome-associated membrane glycoprotein 2	P13473;B4E2S7;B7Z2R9	-0.516	2	6.929	6.321	1.00E-05
RRS1	Ribosome biogenesis regulatory protein homolog	Q15050	0.335	1	6.426	6.316	2.00E-05
FTH1	Ferritin;Ferritin heavy chain	Q6NS36;B3KXC3;P02794;Q6NZ44;G3V192;G3V1D1;Q8TD27;E9PKY7;E9PK45;E9PRK8;E9PKM5;E9PPQ4;E9PQR3	-0.29	2	6.961	6.314	0
EXOC3	Exocyst complex component 3	O60645;Q6P2E8;H7BXW1;D6RB59;D6RBR9;Q69YP2;B2RE06	-0.045	2	6.736	6.311	8.00E-05
PTGES3	Prostaglandin E synthase 3	B3KUY2;Q15185;B4DP11;B4DP21;B4DHP2;B4DDC6	-0.166	3	7.778	6.289	0
DDOST	Dolichyl-diphosphooligosaccharide--protein glycosy	P39656;B4DLI2;B4DJE3;E7EWT1	-0.436	1	7.218	6.288	0.00022
PAIP1	Polyadenylate-binding protein-interacting protein 	Q9H074;A6NKV8;D6REB4;D6RJF2	1.091	1	6.708	6.277	0.00019
SRP14	Signal recognition particle 14 kDa protein	P37108;H0YLA2	0.611	2	7.466	6.236	0
CPNE3;CPNE7;CPNE6;CPNE5;CPNE8;CPNE4;CPNE9;CPNE2	Copine-3;Copine-7;Copine-5;Copine-8;Copine-6;Copin	O75131;Q9UBL6;B7Z1M3;F5GXN1;Q9HCH3;B7Z370;Q86YQ8;O95741;Q96A23;Q8IYJ1;E7ENV7;A8K8A4;Q96FN4;B2RD40;Q719H8;B3KWK1;Q7Z6C8;Q05DL8;E5RG68;Q86VY2;E5RHZ0;E5RJ85;E5RG97;Q4G168;E5RFT7	0.594	1	6.644	6.231	1.00E-05
ZNF598	Zinc finger protein 598	Q86UK7;H3BQQ2	0.365	2	6.996	6.229	0
SPATA5	Spermatogenesis-associated protein 5	Q8NB90	0.051	1	6.736	6.198	0
CC2D1A	Coiled-coil and C2 domain-containing protein 1A	Q6P1N0;E9PGJ9;Q9NX28;C9J1T8;Q9H8P7	-0.788	1	6.499	6.167	0
MLLT4	Afadin	A8MQ02;P55196;G1UI22;C9JX92;Q5TIG5;C9IYT9;Q5JPV5;H0YA98	2.087	1	6.333	6.148	0.00069
LSM14B	Protein LSM14 homolog B	Q9BX40;Q5TBP9;C9J454	0.584	3	7.124	6.011	0
AP1M1;AP1M2	AP-1 complex subunit mu-1;AP-1 complex subunit mu-	Q59EK3;B3KNH5;Q9BXS5;E7ENJ6;B4DN99;B4DDG7;B3KN68;Q53GI5;Q9Y6Q5	-0.493	5	8.173	5.966	0
CCNK	Cyclin-K	C9JI13;O75909;G3V5E1;A8MZK4;C9JSW4;G3V2Q3;G3V235	1.614	2	7.103	0	0.00069
ARFIP2	Arfaptin-2	B4DUZ3;P53365;B4DX86;B4DXH2;E9PRV8;E9PPY7	1.125	3	8.066	0	0
ARFIP1	Arfaptin-1	B4E273;P53367;B7ZA10;Q8N8M9;B4DS69	1.093	15	8.919	0	0
FAM168A	Protein FAM168A	Q92567	1.051	2	7.341	0	0
TLE4;TLE3;TLE1;TLE2	Transducin-like enhancer protein 4;Transducin-like	F8W9R0;H0YL70;H0YKN8;H0YKT5;Q04727;Q04726;Q04724;E9PD64;Q6PI57;Q6PRX2;F8W8S3;Q6PRX3;B4DPT0;F8W964;F8W6T6;Q04725;H0YNT2;G8JLG4;B3KUA2;F5H7D6;B4DE03;E9PEV7;B4E345;B4E2W3;B3KM67;B3KQ29;B4DE62;H0YNI7;H7BY44;B4DEF9;F8WCH2;H7C3N4	1.026	1	6.64	0	0.00019
MSI2	RNA-binding protein Musashi homolog 2	Q96DH6;B4DHE8;B4DM51	0.788	2	7.134	0	0
TPRG1L	Tumor protein p63-regulated gene 1-like protein	Q5T0D9;B4DPH8	0.758	2	7.721	0	0
P14;SF3B14	Pre-mRNA branch site protein p14	Q53TM1;Q9Y3B4	0.737	1	6.863	0	0
ZFR	Zinc finger RNA-binding protein	B2RNR6;Q96KR1;B5MEH6;A8K849;Q05D65	0.721	1	6.527	0	1.00E-05
C16orf80	UPF0468 protein C16orf80	Q9Y6A4;B4DN94	0.72	1	6.973	0	0.00239
MAD1L1	Mitotic spindle assembly checkpoint protein MAD1	A4D218;Q9Y6D9;B3KR41;C9JPS1;F5GXH0;C9JP81;C9K086;C9JTA2	0.683	2	6.924	0	0
TUBB3	Tubulin beta-3 chain	B2RBD5;Q13509;Q9BV28;Q53G92;A8K854;Q3ZCR3	0.673	1	6.835	0	0
COPB1	Coatomer subunit beta	P53618;E9PP73	0.644	1	6.649	0	0.00081
		B2R959	0.615	1	7.243	0	0
MTMR9	Myotubularin-related protein 9	Q53EW4;Q96QG7;B4E0V7;B7Z291;E9PR67	0.596	3	7.481	0	0
TRAPPC6B	Trafficking protein particle complex subunit 6B	Q86SZ2;B0AZV9;G3V2H7;B4DFZ8	0.588	2	7.259	0	1.00E-05
TRAPPC5	Trafficking protein particle complex subunit 5	Q8IUR0	0.585	3	7.746	0	0
BAG3	BAG family molecular chaperone regulator 3	O95817;Q53GY1	0.57	1	6.751	0	0
RAB1B;RAB1C	Ras-related protein Rab-1B;Putative Ras-related pr	Q6FIG4;Q9H0U4;Q92928;E9PLD0	0.558	6	8.223	0	0
CCDC86	Coiled-coil domain-containing protein 86	Q9H6F5;B4DY99	0.543	1	7.086	0	0.00336
FLNB	Filamin-B	O75369;E7EN95;Q68CT4	0.54	1	8.205	0	0
UTP20	Small subunit processome component 20 homolog	O75691	0.54	1	6.561	0	0.00371
PAFAH1B1	Platelet-activating factor acetylhydrolase IB subu	P43034;I3L2U8;B4DZN3;I3L3N5;B4DF38	0.534	1	7.231	0	0
MTMR6	Myotubularin-related protein 6	Q9Y217;E9PD73;Q92792;Q8N5Q4	0.508	2	7.116	0	0
TRAPPC2L	Trafficking protein particle complex subunit 2-lik	H3BP13;Q9UL33;H3BUK6;H3BPN3;H3BQQ8	0.481	2	7.497	0	0
NCAPH2	Condensin-2 complex subunit H2	Q6IBW4;G3XAG4;E5RJ71;E5RJN3;F8WBT7;F8W8U0;H7C569	0.476	1	6.854	0	6.00E-05
MMTAG2	Multiple myeloma tumor-associated protein 2	Q9BU76	0.468	1	6.728	0	1.00E-05
SAR1A;SARA1;SAR1B	GTP-binding protein SAR1a;GTP-binding protein SAR1	B2R679;Q5SQT9;Q6FID4;Q9NR31;Q53F37;Q8NG23;Q9Y6B6;D6RD69;B4DQ19;D6RDB2;Q5SQT8;E9PBN0;H0Y5E8;Q5SQU0;D6RAA2	0.459	3	7.633	0	0
NF1	Neurofibromin;Neurofibromin truncated	P21359;H0Y465;H0UIC3;Q59FX3;A8K1M1;B4DXH1	0.447	3	6.992	0	0
EXOSC7	Exosome complex component RRP42	B2RDZ9;Q15024;B4DIU0	0.428	1	6.762	0	0
LRRC40	Leucine-rich repeat-containing protein 40	Q9H9A6	0.421	1	6.79	0	0.00385
TOE1	Target of EGR1 protein 1	Q96GM8;B4DEM6;B4DP23;B3KSC7	0.377	4	7.346	0	0
DIMT1	Probable dimethyladenosine transferase	A8K9K8;Q9UNQ2;B4DRY2;D6RCL3	0.376	2	7.223	0	0
QKI	Protein quaking	Q96PU8;F5GYM3;F5GXS8;F5H8C8;F5H5U6;H0YG47;F5GYT7	0.375	1	6.624	0	0.00169
GPATCH8	G patch domain-containing protein 8	Q9UKJ3	0.371	1	7.004	0	0.0021
CSNK2A1;hCG_21984	Casein kinase II subunit alpha	Q5U5J2;B2R6D7;B5BUH5;P68400;Q8NEV1;E7EU96;Q2I0Y7	0.327	1	6.463	0	0
AAAS	Aladin	Q53HS1;Q9NRG9;B4DDU7;F8VZ44;H3BU82;F8VUB6;D9DBT1	0.307	5	7.677	0	0
NIPAL1	Magnesium transporter NIPA3	Q6NVV3	0.297	1	7.257	0	0
PACSIN2	Protein kinase C and casein kinase substrate in ne	Q9UNF0;Q6FIA3;B0QYG8;B0QYG7	0.29	4	7.456	0	0
ATP6AP2	Renin receptor	O75787;B7Z4S4;B7Z9I3;B7Z413;B7Z1I9;H0Y750	0.286	1	7.267	0	0
GPS1	COP9 signalosome complex subunit 1	C9JFE4;A8K070;Q13098;B4DND6	0.281	1	6.731	0	0.00076
RAB12	Ras-related protein Rab-12	Q6IQ22	0.279	1	6.451	0	0
DISC1	Disrupted in schizophrenia 1 protein	C4P096;E2QRA4;Q9NRI5;A7E2W8;Q5T409;C4P098;C4P094;F5H1F1;C4P0A4;C4P0B6;C4P0B1;C4P0B0;C4P0A5;C4P093;C4P0C4;C4P0A0;C4P0C8;H0Y7U2;B1AL60;C4P0D2;C4P0D0;C4P0D1;C4P092;C4P0A9;C4P0D3;C4P091;C4P0C7;Q5T406;C4P0C1;B1AM64	0.272	4	7.485	0	0
EXOSC3;PNAS-3	Exosome complex component RRP40	Q9NQT5;Q9NYS3	0.271	1	6.807	0	0
ENPP5	Ectonucleotide pyrophosphatase/phosphodiesterase f	A8K9X7;Q9UJA9	0.264	2	7.293	0	0
LARP7	La-related protein 7	Q4G0J3;D6RFF0;H0YA82;D6R9Z6	0.255	2	6.871	0	0
ABCE1		H0Y990	0.251	1	7.241	0	0
RPLP1	60S acidic ribosomal protein P1	P05386;Q6FG99;Q6ICQ4;Q7Z612	0.246	1	6.69	0	0
LTV1	Protein LTV1 homolog	Q96GA3	0.243	2	7.288	0	0
TRAPPC4	Trafficking protein particle complex subunit 4	Q9Y296;E9PQE8;B4DME1;E9PKS9;E9PN70;B4DF86;B4DF36;G5EA23;G3V1A0	0.237	6	8.093	0	0
LMNB2	Lamin-B2	Q03252	0.23	1	7.929	0	0.00173
RPA1	Replication protein A 70 kDa DNA-binding subunit	P27694;I3L4R8	0.209	2	6.837	0	0
SEC24A	Protein transport protein Sec24A	O95486;B4E205;B7ZKM8;O95487;B4DTM6;B4E2E1	0.205	2	7.11	0	9.00E-05
AHNAK	Neuroblast differentiation-associated protein AHNA	Q09666;Q6ZQN2;Q8N274;B4DTV0;Q13727	0.205	3	7.023	0	0
CRYZ	Quinone oxidoreductase	Q08257;A6NN60;A6NP24;C9JH92	0.202	1	6.815	0	0
WDR33	pre-mRNA 3 end processing protein WDR33	Q9C0J8;C9J8B4;B9A053	0.198	1	6.506	0	2.00E-05
DDX52	Probable ATP-dependent RNA helicase DDX52	Q9Y2R4;Q59H21;A8MTP9;B3KM65	0.197	2	7.478	0	0.00026
ALDOC	Fructose-bisphosphate aldolase;Fructose-bisphospha	B7Z3K9;P09972;B7Z1Y2;B7Z1N6;B7Z3K7;B7Z1Z9;A8MVZ9;B7Z1L5;C9J8F3;B7Z1H6	0.189	3	7.561	0	0
NAA10;NAA11;ARD1A	N-alpha-acetyltransferase 10;N-alpha-acetyltransfe	P41227;A6NM98;Q9BSU3;A8MWP7;B4DKJ7;F8W808;C9JW55;C9JN83;Q6P4J0;B4DFG1;B7Z9N2	0.187	1	7.268	0	0.00013
DKFZp686L12167;AP4E1		Q68D31;H0YKX4;H0YK94	0.166	1	6.518	0	0
RAB43	Ras-related protein Rab-43;Putative Rab-43-like pr	Q86YS6;A6NDJ8	0.162	1	7.024	0	0
TRAPPC8;KIAA1012	Trafficking protein particle complex subunit 8	Q9Y2L5;A8K922;Q6PCC9	0.146	29	8.747	0	0
THOC3	THO complex subunit 3	Q96J01;Q6NZ53;D6RGZ2	0.146	1	7.161	0	0.00063
TRAPPC3	Trafficking protein particle complex subunit 3	O43617;A6NDN0;A6NKE1	0.141	4	8.02	0	0
POLR2A	DNA-directed RNA polymerase II subunit RPB1	P24928	0.135	2	6.753	0	1.00E-05
RECQL	ATP-dependent DNA helicase Q1	P46063;F8WD97;F8WA66;F5H2L2;F5H3W0;F5H4P4	0.132	2	7.189	0	0
GNPDA1	Glucosamine-6-phosphate isomerase 1	A8K3S1;P46926;D6RFF8;D6R9P4;B3KMV2;E7EVU7;D6RAY7;B7Z3X4;D6RB13;D6R917;Q8TDQ7	0.13	2	7.126	0	0
TRAPPC11	Trafficking protein particle complex subunit 11	B3KU05;Q7Z392;B7WNP8;D6RHE5;B3KR79;D6R9T9	0.126	13	8.065	0	0
MYEF2	Myelin expression factor 2	Q9P2K5;Q9Y655	0.123	1	7.154	0	0
RUSC1	RUN and SH3 domain-containing protein 1	Q9BVN2;Q5T9V0;Q9BT86;B4DQB8;B3KWM9	0.122	35	9.442	0	0
AP4E1	AP-4 complex subunit epsilon-1	Q9UPM8;H0YL95;H0YK95	0.119	33	8.905	0	0
ACP2	Lysosomal acid phosphatase	P11117;B7Z6L8;F5H1S6;B7Z552;E9PQY3;B7Z7D2;B7Z4Z2;E9PHY0;E9PP23;B7Z8T9;F5GWV7	0.108	3	7.223	0	0
VPS26B	Vacuolar protein sorting-associated protein 26B	Q4G0F5;E9PRT4	0.102	2	7.358	0	0
RBFOX1;RBFOX2;RBM9;A2BP1;DKFZp547L059;RBFOX3	RNA binding protein fox-1 homolog 1;RNA binding pr	F8VZG9;B7Z1U7;F8W9K3;Q9NWB1;F8WAC5;F8WSN4;F8VRS4;O43251;B0QYY4;B7ZLH9;B0QYV1;Q59HD3;F8VZY7;F8VR27;Q8TCM0;B4DF29;A6NFN3;B0QYY7;I3L1D4	0.097	2	7.332	0	4.00E-05
SERINC1	Serine incorporator 1	Q9NRX5	0.095	19	9.53	0	0
XLKD1;LYVE1	Lymphatic vessel endothelial hyaluronic acid recep	B2R672;Q9Y5Y7	0.095	1	7.502	0	0.00308
EIF2B3	Translation initiation factor eIF-2B subunit gamma	Q9NR50;Q9HA31;H0Y580;Q5QP91	0.092	1	6.538	0	7.00E-05
GEMIN2	Gem-associated protein 2	O14893;H0YEL0;H0YDP6	0.087	1	7.038	0	1.00E-05
NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acety	Q9UK23;B4DZG9	0.071	3	7.336	0	0
IER3		Q5ST79	0.068	1	6.912	0	0.00151
ATP2B1;ATP2B2;ATP2B4;ATP2B3;ATP2B2 variant protein	Plasma membrane calcium-transporting ATPase 1;Plas	Q59H63;P20020;Q01814;P23634;Q16720;Q4LE63;Q68DH9;E7EME2;F5H7F7;A7E2D8;A8K8U3;H0Y7S3;Q4J697;E7ERY9;A1L3B5;A1X4P8	0.056	1	7.207	0	2.00E-05
FAM91A1	Protein FAM91A1	Q658Y4;B4DUD8;E7ER68;G3V120;H0YBR6;H0YC80;P0C866;E7EMD5;Q8N6F3	0.053	29	8.676	0	0
RPAP3	RNA polymerase II-associated protein 3	Q9H6T3;B4DRW9	0.045	1	6.392	0	0
SFRS4;SRSF4	Serine/arginine-rich splicing factor 4	A8K644;Q08170;E7EMJ8;Q53F45;B4DEM8;F6T1J1;Q59EF5	0.044	1	6.536	0	0
RBM39;DKFZp781C0423;DKFZp686A11192;DKFZp686C17209;	RNA-binding protein 39	Q14498;B4E1M7;Q68DD9;B3KWX7;B4DLM0;B4DRA0;G3XAC6;E1P5S2;Q6N037;B7Z4L7;H0Y4X3;Q5QP20;Q6MZY7;Q7Z3L0;Q5QP23;Q5QP21;Q5QP22	0.038	3	7.429	0	0
UBR4	E3 ubiquitin-protein ligase UBR4	Q5T4S7;B4DYV5;B3KMT2;B4DPF6;B3KM62;Q96HY5;Q5TBN9	0.032	1	6.482	0	0
SERINC3	Serine incorporator 3	Q13530;Q53GK8;B4DHI5;F5GY47;B4DUE9;Q5H936	0.024	19	8.79	0	0
TRAPPC12;CGI-87	Trafficking protein particle complex subunit 12	Q8WVT3;B3KST6;E7ENL7;Q8N9N0;Q53QD4;H7C0T3;H7C2F7;H7C1E5;Q53S18;H7C373;H7C0K3;H7C2B4	0.02	6	7.909	0	0
NEK9	Serine/threonine-protein kinase Nek9	Q8TD19;B3KY50;G3V459	0.014	2	6.774	0	0.00022
AP4M1	AP-4 complex subunit mu-1	C9JC87;O00189;B4DKN7;Q6ZNF7;C9IZL5;C9JWL4;C9JMG3;H7C0A0;H7BZV3;F8WCR6;H0Y6K1;Q6N009;B4E2Y6;B4DEE6;F8WCC5;F8WDR3	0.005	16	8.71	0	0
LYZ	Lysozyme C	B2R4C5;P61626;F8VV32	0	0	6.64	0	0.00033
ARPC3	Actin-related protein 2/3 complex subunit 3	B2R4D5;O15145;Q2LE71;B4DM63;C9JZD1;F8VR50	-0.004	1	6.751	0	0
DYNLL1;DNCL1;DYNLL2	"Dynein light chain 1, cytoplasmic;Dynein light cha"	P63167;Q6FGH9;Q96FJ2	-0.005	1	7.383	0	3.00E-05
PPIH	Peptidyl-prolyl cis-trans isomerase H;Peptidyl-pro	O43447;Q6FH36;Q6FH57;C9JQD4;A6NNE7;H0YEL5	-0.015	1	7.279	0	0.00069
C17orf75	Protein Njmu-R1	Q9HAS0;Q8NI83	-0.016	14	8.6	0	0
AP4S1	AP-4 complex subunit sigma-1	Q9Y587;Q86U36;G3V2N8;G3V3X7;G3V5J6;G3V4P7;B7ZB52;H0YJI3	-0.019	4	8.35	0	0
SNX6	Sorting nexin-6	A8K885;Q9UNH7;B4DJS7;C0H5W9;Q5QTQ6;G3V5X9	-0.024	2	7.427	0	0
SARS2;FBXO17;FDX1L	"Serine--tRNA ligase, mitochondrial;Adrenodoxin-lik"	Q9NP81;B4DJM9;B4DJP6;B4DXB9;E7EX87;Q6P4F2;E7EQL1;F2Z2N3	-0.031	1	6.857	0	0.00317
SNRPG	Small nuclear ribonucleoprotein G-like protein;Sma	A8MWD9;P62308;F5H013;Q49AN9	-0.034	1	6.788	0	0
GNB2;GNB4;GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) 	P62879;Q6FHM2;E7EP32;C9JXA5;C9JIS1;C9JZN1;Q9HAV0;B1AKQ9;B1AKQ7;B1AKQ8;A8K3F6;B3KPU1;F1T0G4;F1T0G5;P16520;E9PCP0;Q59G26;Q96B71;F5H0S8;F5H8J8;F5H100;B4DLV5;Q71UM7;C9JD14	-0.035	1	7.419	0	0
CD151	CD151 antigen	P48509;Q53FU5;E9PMR4;E9PRJ3;E9PL82	-0.044	1	7.068	0	0.00328
ANP32B	Acidic leucine-rich nuclear phosphoprotein 32 fami	Q92688;Q53F35	-0.072	2	7.134	0	0
UBA2	SUMO-activating enzyme subunit 2	B2RDF5;B3KMZ6;Q9UBT2;B3KWB9;B3KNA3	-0.09	1	6.544	0	0.00214
POR;DKFZp686G04235	NADPH--cytochrome P450 reductase	Q59ED7;A8K3B4;B2R6E5;P16435;H0Y4R2;Q63HL4;B4DJI8;E7EVY7;E7EPN3;E7EWU0	-0.096	3	7.294	0	0
